Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,734,415,18,433,0.63,99,109,10
us-003,86,142,5,147,0.37,19,19,0
eu-021,340,1023,7,1030,0.25,197,224,27
us-015,1541,1785,1,1786,0.46,21,44,23
eu-024,14,241,0,241,0.05,3,40,37
us-024,2763,5607,90,5697,0.33,713,1356,643
us-040,28,106,0,106,0.21,6,19,13
us-019,850,2306,5,2311,0.27,168,378,210
us-023,317,547,2,549,0.37,96,97,1
us-010,98,196,3,199,0.33,5,27,22
us-013,254,423,14,437,0.37,11,19,8
us-030,160,95,7,102,0.61,31,43,12
eu-016,344,329,5,334,0.51,123,155,32
us-008,159,202,5,207,0.43,25,39,14
eu-010,14,126,0,126,0.1,11,22,11
eu-015,72,1804,0,1804,0.04,25,234,209
eu-002,5,130,3,133,0.04,10,33,23
us-009,70,890,0,890,0.07,63,108,45
us-011a,370,268,0,268,0.58,27,39,12
us-034,29,832,10,842,0.03,160,290,130
eu-012,166,628,10,638,0.21,133,202,69
eu-014,0,218,0,218,0.0,0,17,17
us-005,0,170,0,170,0.0,0,10,10
us-016,99,1346,0,1346,0.07,7,16,9
us-021,346,178,1,179,0.66,73,73,0
us-022,68,242,5,247,0.22,62,66,4
us-029,15,345,3,348,0.04,24,36,12
us-028,299,172,1,173,0.63,54,57,3
eu-006,149,447,5,452,0.25,82,102,20
us-012,0,689,0,689,0.0,0,121,121
eu-011,91,92,5,97,0.48,30,30,0
us-026,119,377,8,385,0.24,57,81,24
eu-017,301,321,8,329,0.48,111,140,29
eu-009a,193,237,1,238,0.45,17,25,8
us-037,329,424,23,447,0.42,111,166,55
us-017,533,6517,16,6533,0.08,654,1451,797
eu-027,298,403,0,403,0.43,108,140,32
eu-003,139,785,2,787,0.15,11,63,52
us-025,1411,5661,135,5796,0.2,279,987,708
eu-008,80,222,0,222,0.26,59,58,1
eu-001,616,2114,9,2123,0.22,220,392,172
eu-005,0,588,0,588,0.0,0,143,143
us-018,911,11295,13,11308,0.07,701,2125,1424
us-007,72,2007,1,2008,0.03,158,235,77
us-032,531,185,4,189,0.74,24,17,7
eu-023,17,339,0,339,0.05,30,40,10
eu-025,200,886,0,886,0.18,70,168,98
us-035a,727,1635,58,1693,0.3,312,308,4
us-020,1424,2530,4,2534,0.36,740,825,85
eu-004,1393,3229,11,3240,0.3,614,851,237
eu-026,149,185,18,203,0.42,65,64,1
us-031a,43,345,0,345,0.11,31,46,15
eu-019,156,161,8,169,0.48,94,95,1
us-033,25,1297,6,1303,0.02,30,172,142
us-014,242,407,2,409,0.37,22,36,14
us-002,915,2001,13,2014,0.31,382,429,47
us-004,220,475,0,475,0.32,62,89,27
eu-022,5,409,0,409,0.01,14,71,57
us-001,388,2056,15,2071,0.16,357,405,48
us-038,34,80,2,82,0.29,14,16,2
us-039,74,13,0,13,0.85,8,14,6
us-027,87,422,2,424,0.17,41,86,45
eu-020,88,429,0,429,0.17,28,53,25
eu-018,195,425,10,435,0.31,109,201,92
eu-013,0,752,0,752,0.0,25,71,46
us-036,806,181,12,193,0.81,16,14,2
us-006,19,86,3,89,0.18,7,12,5
Totals,22221,71473,589,72062,0.28,7859,14114,6285
