Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,1088,61,11,72,0.94,82,109,27
us-003,221,7,92,99,0.69,27,19,8
eu-021,1312,51,47,98,0.93,58,224,166
us-015,3289,37,39,76,0.98,81,44,37
eu-024,202,53,0,53,0.79,9,40,31
us-024,7766,604,377,981,0.89,184,1356,1172
us-040,109,25,17,42,0.72,9,19,10
us-019,3053,103,85,188,0.94,94,378,284
us-023,850,14,23,37,0.96,19,97,78
us-010,230,64,52,116,0.66,17,27,10
us-013,677,0,216,216,0.76,34,19,15
us-030,235,20,13,33,0.88,8,43,35
eu-016,604,69,2,71,0.89,30,155,125
us-008,306,55,0,55,0.85,13,39,26
eu-010,103,37,0,37,0.74,9,22,13
eu-015,1874,2,373,375,0.83,76,234,158
eu-002,126,9,26,35,0.78,8,33,25
us-009,956,4,121,125,0.88,31,108,77
us-011a,465,173,7,180,0.72,30,39,9
us-034,753,108,0,108,0.87,37,290,253
eu-012,715,79,48,127,0.85,34,202,168
eu-014,218,0,48,48,0.82,11,17,6
us-005,114,56,0,56,0.67,4,10,6
us-016,1444,1,14,15,0.99,35,16,19
us-021,524,0,165,165,0.76,23,73,50
us-022,257,53,5,58,0.82,12,66,54
us-029,290,70,0,70,0.81,9,36,27
us-028,415,56,1,57,0.88,16,57,41
eu-006,481,115,4,119,0.8,29,102,73
us-012,682,7,64,71,0.91,32,121,89
eu-011,181,2,335,337,0.35,19,30,11
us-026,451,45,3,48,0.9,54,81,27
eu-017,543,79,1,80,0.87,27,140,113
eu-009a,381,49,15,64,0.86,22,25,3
us-037,664,89,132,221,0.75,23,166,143
us-017,6997,53,246,299,0.96,185,1451,1266
eu-027,545,156,3,159,0.77,26,140,114
eu-003,730,194,24,218,0.77,43,63,20
us-025,6512,560,361,921,0.88,116,987,871
eu-008,211,91,1,92,0.7,13,58,45
eu-001,449,2281,18,2299,0.16,59,392,333
eu-005,585,3,57,60,0.91,33,143,110
us-018,11598,608,787,1395,0.89,304,2125,1821
us-007,1949,130,22,152,0.93,76,235,159
us-032,700,16,3,19,0.97,37,17,20
eu-023,312,44,0,44,0.88,10,40,30
eu-025,974,112,43,155,0.86,50,168,118
us-035a,2008,354,31,385,0.84,81,308,227
us-020,3951,3,260,263,0.94,126,825,699
eu-004,4185,437,33,470,0.9,205,851,646
eu-026,334,0,349,349,0.49,23,64,41
us-031a,377,11,14,25,0.94,20,46,26
eu-019,248,69,0,69,0.78,18,95,77
us-033,1109,213,13,226,0.83,26,172,146
us-014,649,0,778,778,0.45,34,36,2
us-002,2881,35,428,463,0.86,84,429,345
us-004,633,62,17,79,0.89,14,89,75
eu-022,407,7,22,29,0.93,18,71,53
us-001,1948,496,384,880,0.69,51,405,354
us-038,88,26,0,26,0.77,14,16,2
us-039,79,8,0,8,0.91,7,14,7
us-027,168,341,6,347,0.33,18,86,68
eu-020,437,80,1,81,0.84,19,53,34
eu-018,449,171,8,179,0.71,17,201,184
eu-013,737,15,207,222,0.77,40,71,31
us-036,958,29,11,40,0.96,18,14,4
us-006,86,19,0,19,0.82,5,12,7
Totals,84873,8821,6463,15284,0.81,2996,14114,11324
