Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,197,15,13,28,0.88,82,109,27
us-003,26,7,26,33,0.44,27,19,8
eu-021,201,60,56,116,0.63,58,224,166
us-015,542,39,41,80,0.87,81,44,37
eu-024,36,8,3,11,0.77,9,40,31
us-024,999,524,541,1065,0.48,184,1356,1172
us-040,17,9,8,17,0.5,9,19,10
us-019,402,126,263,389,0.51,94,378,284
us-023,125,15,25,40,0.76,19,97,78
us-010,41,25,22,47,0.47,17,27,10
us-013,91,11,44,55,0.62,34,19,15
us-030,45,7,11,18,0.71,8,43,35
eu-016,127,28,26,54,0.7,30,155,125
us-008,54,12,0,12,0.82,13,39,26
eu-010,21,7,0,7,0.75,9,22,13
eu-015,162,168,234,402,0.29,76,234,158
eu-002,28,5,10,15,0.65,8,33,25
us-009,143,6,35,41,0.78,31,108,77
us-011a,51,41,28,69,0.43,30,39,9
us-034,255,37,34,71,0.78,37,290,253
eu-012,170,36,52,88,0.66,34,202,168
eu-014,36,0,8,8,0.82,11,17,6
us-005,24,12,0,12,0.67,4,10,6
us-016,278,3,8,11,0.96,35,16,19
us-021,106,6,42,48,0.69,23,73,50
us-022,70,16,4,20,0.78,12,66,54
us-029,48,19,1,20,0.71,9,36,27
us-028,57,24,5,29,0.66,16,57,41
eu-006,90,32,8,40,0.69,29,102,73
us-012,156,19,34,53,0.75,32,121,89
eu-011,42,2,77,79,0.35,19,30,11
us-026,71,19,4,23,0.76,54,81,27
eu-017,104,36,34,70,0.6,27,140,113
eu-009a,50,17,14,31,0.62,22,25,3
us-037,143,65,67,132,0.52,23,166,143
us-017,1369,108,143,251,0.85,185,1451,1266
eu-027,130,43,18,61,0.68,26,140,114
eu-003,153,32,25,57,0.73,43,63,20
us-025,599,428,444,872,0.41,116,987,871
eu-008,41,24,11,35,0.54,13,58,45
eu-001,129,501,50,551,0.19,59,392,333
eu-005,143,9,28,37,0.79,33,143,110
us-018,1816,404,404,808,0.69,304,2125,1821
us-007,350,48,29,77,0.82,76,235,159
us-032,122,2,1,3,0.98,37,17,20
eu-023,59,10,0,10,0.86,10,40,30
eu-025,180,58,39,97,0.65,50,168,118
us-035a,342,129,36,165,0.67,81,308,227
us-020,859,63,164,227,0.79,126,825,699
eu-004,908,137,71,208,0.81,205,851,646
eu-026,79,7,80,87,0.48,23,64,41
us-031a,69,4,17,21,0.77,20,46,26
eu-019,71,24,6,30,0.7,18,95,77
us-033,131,50,16,66,0.66,26,172,146
us-014,119,8,132,140,0.46,34,36,2
us-002,497,41,105,146,0.77,84,429,345
us-004,87,30,19,49,0.64,14,89,75
eu-022,72,13,16,29,0.71,18,71,53
us-001,306,529,244,773,0.28,51,405,354
us-038,19,4,0,4,0.83,14,16,2
us-039,17,1,0,1,0.94,7,14,7
us-027,17,81,16,97,0.15,18,86,68
eu-020,67,17,5,22,0.75,19,53,34
eu-018,117,88,43,131,0.47,17,201,184
eu-013,130,21,44,65,0.67,40,71,31
us-036,137,32,34,66,0.67,18,14,4
us-006,13,2,0,2,0.87,5,12,7
Totals,14156,4404,4018,8422,0.66,2996,14114,11324
