Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,995,154,8,162,0.86,91,109,18
us-003,226,2,122,124,0.65,21,19,2
eu-021,1247,116,0,116,0.91,194,224,30
us-015,3280,46,16,62,0.98,71,44,27
eu-024,255,0,0,0,1.0,39,40,1
us-024,7821,549,199,748,0.91,1204,1356,152
us-040,111,23,0,23,0.83,18,19,1
us-019,2830,326,24,350,0.89,313,378,65
us-023,853,11,41,52,0.94,101,97,4
us-010,286,8,112,120,0.7,31,27,4
us-013,677,0,20,20,0.97,28,19,9
us-030,241,14,7,21,0.92,49,43,6
eu-016,643,30,0,30,0.96,125,155,30
us-008,359,2,0,2,0.99,34,39,5
eu-010,139,1,0,1,0.99,19,22,3
eu-015,1860,16,258,274,0.87,216,234,18
eu-002,135,0,26,26,0.84,41,33,8
us-009,959,1,43,44,0.96,114,108,6
us-011a,512,126,4,130,0.8,43,39,4
us-034,841,20,397,417,0.67,277,290,13
eu-012,529,265,3,268,0.66,135,202,67
eu-014,213,5,15,20,0.91,18,17,1
us-005,170,0,0,0,1.0,11,10,1
us-016,1391,54,13,67,0.95,16,16,0
us-021,516,8,54,62,0.89,70,73,3
us-022,310,0,0,0,1.0,67,66,1
us-029,300,60,0,60,0.83,5,36,31
us-028,413,58,5,63,0.87,31,57,26
eu-006,536,60,1,61,0.9,76,102,26
us-012,663,26,29,55,0.92,117,121,4
eu-011,161,22,291,313,0.34,36,30,6
us-026,467,29,19,48,0.91,22,81,59
eu-017,604,18,0,18,0.97,122,140,18
eu-009a,415,15,68,83,0.83,22,25,3
us-037,350,403,28,431,0.45,47,166,119
us-017,6973,77,10,87,0.99,714,1451,737
eu-027,670,31,8,39,0.94,106,140,34
eu-003,915,9,4,13,0.99,100,63,37
us-025,6548,524,263,787,0.89,687,987,300
eu-008,292,10,4,14,0.95,56,58,2
eu-001,2465,265,37,302,0.89,241,392,151
eu-005,474,114,19,133,0.78,102,143,41
us-018,11872,334,110,444,0.96,958,2125,1167
us-007,1790,289,57,346,0.84,60,235,175
us-032,627,89,8,97,0.87,20,17,3
eu-023,261,95,0,95,0.73,11,40,29
eu-025,957,129,4,133,0.88,146,168,22
us-035a,2350,12,2,14,0.99,326,308,18
us-020,3907,47,92,139,0.97,808,825,17
eu-004,4177,445,28,473,0.9,692,851,159
eu-026,266,68,65,133,0.67,43,64,21
us-031a,387,1,1,2,0.99,47,46,1
eu-019,286,31,0,31,0.9,64,95,31
us-033,1271,51,13,64,0.95,159,172,13
us-014,649,0,362,362,0.64,50,36,14
us-002,2870,46,156,202,0.93,323,429,106
us-004,629,66,5,71,0.9,53,89,36
eu-022,329,85,16,101,0.77,56,71,15
us-001,2008,436,72,508,0.8,295,405,110
us-038,114,0,1,1,0.99,18,16,2
us-039,87,0,0,0,1.0,14,14,0
us-027,407,102,11,113,0.78,60,86,26
eu-020,508,9,14,23,0.96,30,53,23
eu-018,308,312,1,313,0.5,59,201,142
eu-013,695,57,20,77,0.9,66,71,5
us-036,887,100,4,104,0.9,18,14,4
us-006,104,1,1,2,0.98,12,12,0
Totals,87391,6303,3191,9494,0.87,10218,14114,4212
