Document name,Correct count,Missed count,Inserted count,Error count,Accuracy,Predicted cell count,Actual cell count,Cell count distance
eu-007,1085,64,6,70,0.94,110,109,1
us-003,224,4,90,94,0.7,16,19,3
eu-021,1331,32,1,33,0.98,204,224,20
us-015,3282,44,8,52,0.98,67,44,23
eu-024,232,23,0,23,0.91,39,40,1
us-024,8131,239,323,562,0.94,1277,1356,79
us-040,134,0,30,30,0.82,21,19,2
us-019,3109,47,298,345,0.9,308,378,70
us-023,861,3,118,121,0.88,90,97,7
us-010,287,7,178,185,0.61,33,27,6
us-013,677,0,201,201,0.77,22,19,3
us-030,233,22,1,23,0.91,45,43,2
eu-016,634,39,2,41,0.94,124,155,31
us-008,311,50,0,50,0.86,31,39,8
eu-010,121,19,0,19,0.86,18,22,4
eu-015,1866,10,193,203,0.9,211,234,23
eu-002,134,1,37,38,0.78,39,33,6
us-009,956,4,93,97,0.91,117,108,9
us-011a,622,16,0,16,0.97,37,39,2
us-034,833,28,426,454,0.65,270,290,20
eu-012,760,34,58,92,0.89,203,202,1
eu-014,218,0,47,47,0.82,16,17,1
us-005,104,66,0,66,0.61,7,10,3
us-016,1438,7,7,14,0.99,15,16,1
us-021,524,0,107,107,0.83,76,73,3
us-022,294,16,0,16,0.95,64,66,2
us-029,349,11,0,11,0.97,27,36,9
us-028,462,9,1,10,0.98,56,57,1
eu-006,579,17,0,17,0.97,88,102,14
us-012,683,6,64,70,0.91,133,121,12
eu-011,183,0,336,336,0.35,39,30,9
us-026,442,54,4,58,0.88,17,81,64
eu-017,595,27,2,29,0.95,121,140,19
eu-009a,419,11,60,71,0.86,20,25,5
us-037,752,1,113,114,0.87,179,166,13
us-017,6998,52,147,199,0.97,702,1451,749
eu-027,681,20,51,71,0.91,111,140,29
eu-003,853,71,0,71,0.92,94,63,31
us-025,6764,308,300,608,0.92,702,987,285
eu-008,282,20,5,25,0.92,57,58,1
eu-001,2575,155,62,217,0.92,243,392,149
eu-005,588,0,43,43,0.93,138,143,5
us-018,12079,127,747,874,0.93,975,2125,1150
us-007,1780,299,0,299,0.86,58,235,177
us-032,716,0,4,4,0.99,18,17,1
eu-023,281,75,0,75,0.79,29,40,11
eu-025,986,100,5,105,0.9,154,168,14
us-035a,2334,28,1,29,0.99,319,308,11
us-020,3916,38,296,334,0.92,794,825,31
eu-004,4327,295,13,308,0.93,812,851,39
eu-026,333,1,371,372,0.47,61,64,3
us-031a,377,11,0,11,0.97,46,46,0
eu-019,275,42,1,43,0.86,59,95,36
us-033,1296,26,5,31,0.98,151,172,21
us-014,649,0,509,509,0.56,48,36,12
us-002,2884,32,434,466,0.86,321,429,108
us-004,675,20,1,21,0.97,58,89,31
eu-022,380,34,0,34,0.92,62,71,9
us-001,2052,392,178,570,0.78,308,405,97
us-038,100,14,0,14,0.88,16,16,0
us-039,79,8,0,8,0.91,13,14,1
us-027,505,4,44,48,0.91,85,86,1
eu-020,446,71,3,74,0.86,24,53,29
eu-018,547,73,0,73,0.88,143,201,58
eu-013,748,4,219,223,0.77,75,71,4
us-036,978,9,4,13,0.99,13,14,1
us-006,86,19,0,19,0.82,11,12,1
Totals,90435,3259,6247,9506,0.87,10840,14114,3572
